Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;N/A;N/A;44999;58830;Duque de Caxias
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;72488;64830;Campinas
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;68873;66350;São Paulo
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;N/A;N/A;57350;68160;Bauru
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;46510;68290;Uberlândia
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;48123;68290;Mogi das Cruzes
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;18692;73750;João Pessoa
Hyundai;Hb20s;1.0 12V FLEX COMFORT MANUAL;N/A;N/A;62600;76770;Goiânia
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;47000;82200;Santo André
Chevrolet;Onix;1.0 TURBO FLEX LTZ AUTOMÁTICO;N/A;N/A;74100;82530;Canoas
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;N/A;N/A;58655;90450;Rio de Janeiro
Chevrolet;Tracker;1.0 TURBO FLEX LT AUTOMÁTICO;N/A;N/A;50814;97650;São Paulo
Fiat;Pulse;1.0 TURBO 200 FLEX AUDACE CVT;N/A;N/A;59598;98690;Belo Horizonte
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;72898;100610;Campo Grande
Volkswagen;Virtus;1.0 170 TSI AUTOMÁTICO;N/A;N/A;51295;101120;São José
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;65870;101140;Joinville
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;66294;106760;Maceió
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;N/A;N/A;46482;109570;Salvador
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;41637;110900;Recife
Fiat;Toro;2.0 16V TURBO DIESEL ENDURANCE 4WD AT9;N/A;N/A;46747;111270;Cuiabá
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;N/A;N/A;54837;111800;Belém
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;51969;113810;Contagem
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;67802;115160;Natal
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;29146;115730;Salvador
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;N/A;N/A;32618;115960;Santos
Volkswagen;Virtus;1.0 200 TSI HIGHLINE AUTOMÁTICO;N/A;N/A;59284;117310;Curitiba
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;N/A;N/A;54979;120560;Ribeirão Preto
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;71382;122950;Osasco
Hyundai;Creta;1.0 TGDI FLEX PLATINUM SAFETY AUTOMÁTICO;N/A;N/A;66757;123840;Niterói
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;N/A;N/A;20927;126000;Sorocaba
Hyundai;Creta;1.0 TGDI FLEX LIMITED SAFETY AUTOMÁTICO;N/A;N/A;40937;127640;Betim
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;N/A;N/A;42545;127800;Santa Maria
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;N/A;N/A;63315;143210;São Luis
Jeep;Commander;1.3 T270 TURBO FLEX LIMITED AT6;N/A;N/A;46875;170060;Porto Alegre
Volkswagen;Amarok;3.0 V6 TDI DIESEL COMFORTLINE CD 4MOTION AUTOMÁTICO;N/A;N/A;51757;188850;Cascavel
Audi;A3;2.0 40 TFSI MHEV SPORTBACK PERFORMANCE BLACK S-TRONIC;N/A;N/A;52354;231480;Rio de Janeiro
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;N/A;N/A;66620;53270;Campinas
Peugeot;208;1.6 16V FLEX LIKE ESSENCIAL MANUAL;N/A;N/A;71000;57000;Santos
Fiat;Mobi;1.0 EVO FLEX TREKKING MANUAL;N/A;N/A;50616;63430;Cuiabá
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;N/A;N/A;41450;65360;Santa Maria
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;72404;65580;Americana
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;N/A;N/A;55740;66000;Canoas
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;N/A;N/A;50813;66000;São Paulo
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;60060;66350;Mogi das Cruzes
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;58000;67420;Salvador
Citroen;C3;1.0 FIREFLY FLEX LIVE PACK MANUAL;N/A;N/A;50535;67480;Ananindeua
Peugeot;208;1.0 6V FLEX LIKE MANUAL;N/A;N/A;51716;67630;Santa Maria
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;41822;67930;Belo Horizonte
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;52000;68080;São Luis
Citroen;C3;1.0 FIREFLY FLEX LIVE PACK MANUAL;N/A;N/A;56805;68160;Campinas
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;46510;68290;Goiânia
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;46789;68290;Contagem
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;N/A;N/A;42171;68370;Maceió
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;N/A;N/A;40164;68370;Niterói
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;73222;68770;Taboão da Serra
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;56331;69820;Betim
Peugeot;208;1.0 6V FLEX LIKE MANUAL;N/A;N/A;51498;69940;Osasco
Peugeot;208;1.0 6V FLEX LIKE MANUAL;N/A;N/A;40240;70150;Santa Maria
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;54253;70500;São Paulo
Volkswagen;Polo;1.0 MPI MANUAL;N/A;N/A;63094;70940;Contagem
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;47557;71130;Contagem
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;57213;71220;Osasco
Hyundai;Hb20;1.0 12V FLEX SENSE PLUS MANUAL;N/A;N/A;58195;71250;São Paulo
Volkswagen;Polo;1.0 MPI MANUAL;N/A;N/A;67168;71270;São José
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;43700;71430;São Luis
Hyundai;Hb20;1.0 12V FLEX SENSE PLUS MANUAL;N/A;N/A;41233;71470;Serra
Volkswagen;Saveiro;1.6 MSI ROBUST CS 16V FLEX 2P MANUAL;N/A;N/A;22333;72180;Cuiabá
Volkswagen;Polo;1.0 MPI TRACK MANUAL;N/A;N/A;56560;72300;Curitiba
Volkswagen;Polo;1.0 MPI TRACK MANUAL;N/A;N/A;62000;72310;Belém
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;53827;73820;Joinville
Fiat;Strada;1.4 FIRE FLEX ENDURANCE CS MANUAL;N/A;N/A;56119;74300;Uberlândia
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;71195;74380;Bauru
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;73875;74380;São Paulo
