Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2022/2023;44999;58830;Duque de Caxias
Citroen;C3;1.0 FIREFLY FLEX LIVE PACK MANUAL;2023/2024;41450;60900;Canoas
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;2023/2024;57350;64800;Bauru
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;72488;64830;Campinas
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;46510;68290;Uberlândia
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;48123;68290;Mogi das Cruzes
Fiat;Cronos;1.0 FIREFLY FLEX DRIVE MANUAL;2022/2023;62444;70010;Santos
Chevrolet;Onix;1.0 FLEX MANUAL;2024/2024;18692;73750;João Pessoa
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2024/2024;61287;75260;Joinville
Chevrolet;Onix;1.0 FLEX MANUAL;2024/2025;47278;79340;Santo André
Fiat;Strada;1.3 FIREFLY FLEX ENDURANCE CS PLUS MANUAL;2024/2024;42000;83980;Ananindeua
Hyundai;Hb20;1.0 TGDI FLEX COMFORT AUTOMÁTICO;2023/2024;61513;86360;Sorocaba
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2023/2024;58655;90450;Rio de Janeiro
Volkswagen;Polo;1.0 170 TSI COMFORTLINE AUTOMÁTICO;2023/2023;22229;93430;Taboão da Serra
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2023;72898;96586;Campo Grande
Chevrolet;Tracker;1.0 TURBO FLEX LT AUTOMÁTICO;2021/2022;50814;97650;São Paulo
Fiat;Pulse;1.0 TURBO 200 FLEX AUDACE CVT;2023/2023;59598;98690;Belo Horizonte
Volkswagen;Virtus;1.0 170 TSI AUTOMÁTICO;2023/2024;51295;101120;São José
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;66294;106760;Maceió
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2023/2024;46482;109570;Salvador
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;41637;110900;Recife
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2023/2024;47627;110900;Serra
Fiat;Toro;2.0 16V TURBO DIESEL ENDURANCE 4WD AT9;2022/2022;46747;111270;Cuiabá
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2023/2024;54837;111800;Belém
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2023;67802;111990;Natal
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;51969;113810;Contagem
Volkswagen;Virtus;1.0 200 TSI HIGHLINE AUTOMÁTICO;2023/2024;59284;117310;Curitiba
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;71382;120090;Osasco
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;54979;120560;Ribeirão Preto
Hyundai;Creta;1.0 TGDI FLEX PLATINUM SAFETY AUTOMÁTICO;2023/2024;66757;123840;Niterói
Hyundai;Creta;1.0 TGDI FLEX LIMITED SAFETY AUTOMÁTICO;2023/2024;40937;127640;Betim
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;42545;127800;Santa Maria
Fiat;Toro;1.3 TURBO 270 FLEX FREEDOM AT6;2023/2024;50891;129480;Americana
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;2022/2023;63315;143210;São Luis
Volkswagen;T-cross;1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2024/2024;13360;144840;São Paulo
Jeep;Commander;1.3 T270 TURBO FLEX LIMITED AT6;2023/2023;46875;170060;Porto Alegre
Volkswagen;Amarok;3.0 V6 TDI DIESEL COMFORTLINE CD 4MOTION AUTOMÁTICO;2022/2023;51757;175900;Cascavel
Audi;A3;2.0 40 TFSI MHEV SPORTBACK PERFORMANCE BLACK S-TRONIC;2023/2023;52354;231480;Rio de Janeiro
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2022/2023;66620;53270;Campinas
Fiat;Mobi;1.0 EVO FLEX TREKKING MANUAL;2024/2024;50616;63430;Cuiabá
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;2023/2024;41450;65360;Santa Maria
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;72404;65580;Americana
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;55740;66000;Canoas
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;50813;66000;São Paulo
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;60060;66350;Mogi das Cruzes
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;66878;66350;Americana
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;64059;66350;Niterói
Chevrolet;Onix;1.0 FLEX LT MANUAL;2022/2023;58000;67420;Salvador
Citroen;C3;1.0 FIREFLY FLEX LIVE PACK MANUAL;2023/2024;50535;67480;Ananindeua
Peugeot;208;1.0 6V FLEX LIKE MANUAL;2023/2024;51716;67630;Santa Maria
Chevrolet;Onix;1.0 FLEX LT MANUAL;2023/2023;56331;67725;Betim
Chevrolet;Onix;1.0 FLEX MANUAL;2024/2024;41822;67930;Belo Horizonte
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;52000;68080;São Luis
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;52140;68080;Joinville
Citroen;C3;1.0 FIREFLY FLEX LIVE PACK MANUAL;2023/2024;56805;68160;Campinas
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;46510;68290;Goiânia
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;46789;68290;Contagem
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;2023/2024;42171;68370;Maceió
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2022/2023;73222;68770;Taboão da Serra
Peugeot;208;1.0 6V FLEX LIKE MANUAL;2023/2024;51498;69940;Osasco
Peugeot;208;1.0 6V FLEX LIKE MANUAL;2023/2024;40240;70150;Santa Maria
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;54253;70500;São Paulo
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2023/2024;71195;70800;Bauru
Volkswagen;Polo;1.0 MPI MANUAL;2023/2024;63094;70940;Contagem
Chevrolet;Onix;1.0 FLEX LT MANUAL;2023/2024;47557;71130;Contagem
Chevrolet;Onix;1.0 FLEX LT MANUAL;2023/2024;57213;71220;Osasco
Hyundai;Hb20;1.0 12V FLEX SENSE PLUS MANUAL;2023/2024;58195;71250;São Paulo
Volkswagen;Polo;1.0 MPI MANUAL;2023/2023;67168;71270;São José
Volkswagen;Polo;1.0 MPI MANUAL;2023/2024;70365;71290;Sorocaba
Chevrolet;Onix;1.0 FLEX MANUAL;2023/2024;43700;71430;São Luis
Hyundai;Hb20;1.0 12V FLEX SENSE PLUS MANUAL;2023/2024;41233;71470;Serra
Hyundai;Hb20;1.0 12V FLEX SENSE PLUS MANUAL;2024/2024;48158;71470;Sorocaba
Volkswagen;Saveiro;1.6 MSI ROBUST CS 16V FLEX 2P MANUAL;2022/2023;22333;72180;Cuiabá
Volkswagen;Polo;1.0 MPI TRACK MANUAL;2023/2023;56560;72300;Curitiba
Volkswagen;Polo;1.0 MPI TRACK MANUAL;2024/2024;62000;72310;Belém
Chevrolet;Onix;1.0 FLEX LT MANUAL;2023/2024;53827;73820;Joinville
Fiat;Strada;1.4 FIRE FLEX ENDURANCE CS MANUAL;2022/2023;56119;74300;Uberlândia
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2023/2024;73875;74380;São Paulo
Peugeot;208;1.6 16V FLEX ACTIVE AT6;2022/2023;57000;75450;Salvador
Volkswagen;Polo;1.0 MPI TRACK MANUAL;2023/2024;39177;75590;Salvador
Volkswagen;Polo;1.0 170 TSI MANUAL;2023/2024;60000;75600;Niterói
